scan_id,item_no,user_id,user_name,scan_time,location,timestamp,device_info
SCAN001,0001,USER001,テストユーザー1,2025-01-01T10:00:00,倉庫A,2025-01-01T10:00:00Z,Excel Upload
SCAN002,0002,USER002,テストユーザー2,2025-01-01T10:05:00,倉庫B,2025-01-01T10:05:00Z,Excel Upload
SCAN003,0003,USER003,テストユーザー3,2025-01-01T10:10:00,倉庫C,2025-01-01T10:10:00Z,Excel Upload
SCAN004,0001,USER004,テストユーザー4,2025-01-01T10:15:00,倉庫A,2025-01-01T10:15:00Z,Excel Upload
SCAN005,0004,USER005,テストユーザー5,2025-01-01T10:20:00,倉庫D,2025-01-01T10:20:00Z,Excel Upload
SCAN006,0002,USER001,テストユーザー1,2025-01-01T10:25:00,倉庫B,2025-01-01T10:25:00Z,Excel Upload
SCAN007,0005,USER006,テストユーザー6,2025-01-01T10:30:00,倉庫A,2025-01-01T10:30:00Z,Excel Upload
SCAN008,0003,USER002,テストユーザー2,2025-01-01T10:35:00,倉庫C,2025-01-01T10:35:00Z,Excel Upload
SCAN009,0001,USER007,テストユーザー7,2025-01-01T10:40:00,倉庫A,2025-01-01T10:40:00Z,Excel Upload
SCAN010,0006,USER003,テストユーザー3,2025-01-01T10:45:00,倉庫B,2025-01-01T10:45:00Z,Excel Upload
SCAN011,0002,USER008,テストユーザー8,2025-01-01T10:50:00,倉庫B,2025-01-01T10:50:00Z,Excel Upload
SCAN012,0007,USER004,テストユーザー4,2025-01-01T10:55:00,倉庫D,2025-01-01T10:55:00Z,Excel Upload
SCAN013,0001,USER009,テストユーザー9,2025-01-01T11:00:00,倉庫A,2025-01-01T11:00:00Z,Excel Upload
SCAN014,0008,USER005,テストユーザー5,2025-01-01T11:05:00,倉庫C,2025-01-01T11:05:00Z,Excel Upload
SCAN015,0003,USER010,テストユーザー10,2025-01-01T11:10:00,倉庫C,2025-01-01T11:10:00Z,Excel Upload
SCAN016,0009,USER006,テストユーザー6,2025-01-01T11:15:00,倉庫A,2025-01-01T11:15:00Z,Excel Upload
SCAN017,0002,USER001,テストユーザー1,2025-01-01T11:20:00,倉庫B,2025-01-01T11:20:00Z,Excel Upload
SCAN018,0010,USER007,テストユーザー7,2025-01-01T11:25:00,倉庫D,2025-01-01T11:25:00Z,Excel Upload
SCAN019,0001,USER002,テストユーザー2,2025-01-01T11:30:00,倉庫A,2025-01-01T11:30:00Z,Excel Upload
SCAN020,0004,USER008,テストユーザー8,2025-01-01T11:35:00,倉庫D,2025-01-01T11:35:00Z,Excel Upload
SCAN021,0003,USER009,テストユーザー9,2025-01-01T11:40:00,倉庫C,2025-01-01T11:40:00Z,Excel Upload
SCAN022,0011,USER003,テストユーザー3,2025-01-01T11:45:00,倉庫B,2025-01-01T11:45:00Z,Excel Upload
SCAN023,0002,USER010,テストユーザー10,2025-01-01T11:50:00,倉庫B,2025-01-01T11:50:00Z,Excel Upload
SCAN024,0012,USER004,テストユーザー4,2025-01-01T11:55:00,倉庫A,2025-01-01T11:55:00Z,Excel Upload
SCAN025,0005,USER005,テストユーザー5,2025-01-01T12:00:00,倉庫A,2025-01-01T12:00:00Z,Excel Upload
